"ID","Canonical Name","Invariant Focus (typical bands)","Metric Intent (UEC/EMD/ARR/CDL)","Primary Use in VM-Constellation"
"A01","Dead_Echoes","CIC 0.4–0.7, MDI 0.3–0.6, AOS 0.4–0.8; RRM low–mid","UEC 0.6–0.8, EMD 0.5–0.7, ARR ≥ 0.7, CDL ≤ 0.5","Catastrophe afterglow beds: distant shell whines, clipped voices, reverbs that decay into noise; used for war ruins and old crime sites where trauma is present but partially documented. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A02","Demon_Grid","CIC 0.5–0.9, MDI 0.6–1.0, AOS 0.5–1.0; RRM mid–high, FCF high","UEC 0.7–0.9, EMD 0.7–1.0, ARR 0.6–0.9, CDL 0.5–0.7","High-MDI techno-occult zones: modulation, bit-crushed voices, glitched choirs; used where folklore and experiments overlap, pushing strong pattern-heavy fear while preserving ambiguity. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A03","Trapped_Phantom","CIC 0.3–0.6, SHCI 0.7–1.0, SPR 0.6–1.0; HVF weak, LSG mid","UEC 0.6–0.8, EMD 0.6–0.9, ARR ≥ 0.7, CDL ≤ 0.6","Localized, high-coupling entity loops: breaths through walls, repeating pleas, footsteps that never leave a room; tied tightly to a single tile or object with strong SHCI. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A04","Hellscape_Grasp","CIC 0.7–1.0, MDI 0.5–0.9, DET 0.6–0.9; HVF strong, LSG high","UEC 0.5–0.7, EMD 0.7–1.0, ARR 0.4–0.7, CDL 0.5–0.8","High-intensity trauma fields: layered drones, metallic shrieks, pressure sweeps following HVF; used in battlefronts, boss arenas, or maximum-dread corridors under DreadForge moods. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A05","Murder_Echoes","CIC 0.5–0.9, AOS 0.4–0.9, RRM mid; SHCI 0.6–1.0","UEC 0.6–0.9, EMD 0.7–1.0, ARR ≥ 0.7, CDL 0.5–0.8","Close-range forensic horror: impacts, staggered heartbeats, half-audible last words; surfaces in tiles tagged with clustered deaths and strong ritualized violence. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A06","Spectral_Void","CIC 0.2–0.5, MDI 0.2–0.5, AOS 0.7–1.0; SPR low–mid","UEC 0.7–1.0, EMD 0.5–0.8, ARR ≥ 0.8, CDL 0.4–0.7","“Missing history” soundfields: near-silence, sub-bass swells, distant unlocatable tones; used in high-AOS archives, blackout zones, or redacted facilities. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A07","Interdimensional_Grinder","CIC 0.5–0.9, MDI 0.5–1.0, LSG 0.6–1.0; HVF curling, SPR mid","UEC 0.6–0.8, EMD 0.7–1.0, ARR 0.5–0.8, CDL 0.6–0.8","Liminal tearing presets: metal on bone, geometry-scraping, phasing engines; triggered where LSG spikes and PCG introduces twisted topology. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A08","Lair_of_Spectral_Frequencies","CIC 0.4–0.8, MDI 0.6–1.0, RRM 0.6–1.0, SHCI high","UEC 0.7–0.9, EMD 0.8–1.0, ARR 0.6–0.9, CDL 0.5–0.7","“Boss habitat” ambience: dense harmonic clusters, persistent motifs, call-and-response chimes; used for core haunt nodes and repeating encounter hubs. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A09","Unescapable_Darkness","CIC 0.3–0.7, AOS 0.5–1.0, DET 0.5–0.9; SPR mid, HVF inward","UEC 0.7–1.0, EMD 0.6–0.9, ARR ≥ 0.8, CDL 0.5–0.8","Enclosure pressure sets: occluded room tone, distant movement circling the listener, breathing walls; used for maze cores and collapse events where exits close behind the player. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A10","Tunnels_of_Ghouls","CIC 0.4–0.8, MDI 0.5–0.9, LSG 0.5–1.0; HVF along corridors","UEC 0.6–0.8, EMD 0.6–0.9, ARR 0.5–0.8, CDL 0.5–0.7","Movement-channelled soundscapes: scraping ahead and behind, echoing laughs, rocks disturbed in sync with HVF; for choke points, sewer runs, and trench lines. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A11","Rooms_of_Haunting_Voices","CIC 0.3–0.6, MDI 0.6–1.0, AOS 0.3–0.7; SPR high indoors","UEC 0.7–0.9, EMD 0.7–1.0, ARR 0.6–0.9, CDL 0.4–0.7","Interior vocal clusters: overlapping whispers, arguments across eras, prayer loops; tied to rooms with repeated gatherings or interrogations. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"
"A12","Black_Hallways","CIC 0.3–0.7, AOS 0.5–1.0, LSG 0.6–1.0; HVF forward/back","UEC 0.7–1.0, EMD 0.6–0.9, ARR ≥ 0.8, CDL 0.5–0.8","Archetypal corridor dread: narrowed stereo, disappearing footsteps, distant slams gated by LSG; used for “pure liminal” connector tiles between major regions. this-research-focuses-on-creat-hfrKYptnQR.7lVWEu2zdUg.md"